deck name,French
question,answer
Bonjour,"Hello, Good morning"
Au revoir,Goodbye
Oui,Yes
Non,No
Merci,Thank you
Merci beaucoup,Thank you very much
Fille,Girl
Garçon,Boy
Femme,Woman
Homme,Man
Amour,Love
Français,French
S’il vous plaît,Please
Bonsoir,Good evening
Bonne Nuit,Good night
Excusez-moi,Excuse me
De Rien,"You’re welcome (casual, informal way)"
Je vous en prie,You’re welcome (formal)
Temps,Time
Jour,Day
Monde,World
Monsieur,"Mister, gentleman"
Raison,Reason
Mademoiselle,"Miss, unmarried woman"
Madame,"Married woman, older woman"
Beau,Handsome
Belle,Beautiful
Chat,Cat
Chien,Dog
Fort,Strong